defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
PLANP:0000001	default	PLANA:0000514	cytoplasmic vesicle part
PLANP:0000002	default	PLANA:0007522	medial-lateral axis
PLANP:0000003	default	PLANA:0004530	oviduct lumen
PLANP:0000004	default	PLANA:0000018	Category 4 cell
PLANP:0000006	default	PLANA:0000098	zygote
PLANP:0000008	default	PLANA:0000218	male primordial germ cell
PLANP:0000009	default	PLANA:0000107	yolk cell
PLANP:0000010	default	PLANA:0007558	fission plane
PLANP:0000011	default	PLANA:0000562	central nervous system neuron
PLANP:0000012	default	PLANA:0000478	pharynx musculature
PLANP:0000014	default	PLANA:0000047	collecting duct
PLANP:0000015	default	PLANA:0000533	nucleolus
PLANP:0000016	default	PLANA:0000078	outer longitudinal muscle cell
PLANP:0000017	default	PLANA:0000422	tail stripe
PLANP:0000019	default	PLANA:0000027	Smed sexual biotype
PLANP:0000020	default	PLANA:0007514	rough endoplasmic reticulum
PLANP:0000021	default	PLANA:0000088	renal system
PLANP:0000022	default	PLANA:0000494	brain commissure
PLANP:0000023	default	PLANA:0000205	oviduct
PLANP:0000027	default	PLANA:0004512	primitive ectoderm surface
PLANP:0000029	default	PLANA:0000429	neoblast
PLANP:0000032	default	PLANA:0000215	reproductive system product
PLANP:0000033	default	PLANA:0000475	pharynx inner longitudinal muscle cell
PLANP:0000036	default	PLANA:0000421	tail
PLANP:0000038	default	PLANA:0000419	prepharyngeal region
PLANP:0000039	default	PLANA:0007511	extracellular organelle
PLANP:0000041	default	PLANA:0000115	distal tubule epithelial cell
PLANP:0000042	default	PLANA:0000087	proximal tubule
PLANP:0000043	default	PLANA:0000431	organ
PLANP:0000044	default	PLANA:0000031	pigment cup cell
PLANP:0000045	default	PLANA:0007528	glial cell
PLANP:0000046	default	PLANA:0000036	eye
PLANP:0000047	default	PLANA:0000067	goblet cell
PLANP:0000048	default	PLANA:0000411	gastrodermis surface
PLANP:0000050	default	PLANA:0000546	bipolar neuron
PLANP:0000051	default	PLANA:0000016	definitive pharynx
PLANP:0000052	default	PLANA:0000096	ventral epidermis
PLANP:0000053	default	PLANA:0007544	cintillo+ sensory neuron
PLANP:0000054	default	PLANA:0000404	pharynx lumen
PLANP:0000056	default	PLANA:0000009	sigma neoblast
PLANP:0000057	default	PLANA:0000069	inner longitudinal muscle cell
PLANP:0000058	default	PLANA:0004528	pharynx epithelium
PLANP:0000059	default	PLANA:0004518	extraembryonic cell
PLANP:0000060	default	PLANA:0000418	head
PLANP:0000065	default	PLANA:0000232	copulatory apparatus
PLANP:0000067	default	PLANA:0000519	intracellular non-membrane-bounded organelle
PLANP:0000069	default	PLANA:0000001	Stage 1
PLANP:0000070	default	PLANA:0000565	autonomic neuron
PLANP:0000071	default	PLANA:0000410	basal surface of the epidermis
PLANP:0000076	default	PLANA:0000059	embryonic gut cell
PLANP:0000078	default	PLANA:0000104	rhabdite
PLANP:0000079	default	PLANA:0000020	protonephridia
PLANP:0000080	default	PLANA:0000237	round spermatid
PLANP:0000082	default	PLANA:0001005	basal lamina of epithelium
PLANP:0000083	default	PLANA:0000133	mechanoreceptor cell
PLANP:0000084	default	PLANA:0000006	Stage 6
PLANP:0000085	default	PLANA:0000480	pharynx outer nerve plexus
PLANP:0000088	default	PLANA:0000564	peripheral nervous system neuron
PLANP:0000090	default	PLANA:0000058	embryonic digestive system
PLANP:0000091	default	PLANA:0000101	muscle cell
PLANP:0000092	default	PLANA:0000482	dopaminergic neuron
PLANP:0000093	default	PLANA:0000041	aboral hemisphere
PLANP:0000094	default	PLANA:0000508	cell-cell adhesion
PLANP:0000095	default	PLANA:0007516	nuclear pore
PLANP:0000096	default	PLANA:0000462	sensory cell
PLANP:0000097	default	PLANA:0000537	ribosome
PLANP:0000099	default	PLANA:0000039	gamma neoblast
PLANP:0000103	default	PLANA:0007525	posterior pole
PLANP:0000104	default	PLANA:0000074	oocyte
PLANP:0000105	default	PLANA:0004533	sperm duct epithelium
PLANP:0000108	default	PLANA:0000122	gamete
PLANP:0000109	default	PLANA:0000023	embryonic pharynx
PLANP:0000110	default	PLANA:0000505	cell-cell contact zone
PLANP:0000111	default	PLANA:0007541	releasing gland cell
PLANP:0000112	default	PLANA:0004506	testis somatic gonadal cell
PLANP:0000113	default	PLANA:0000201	bursal canal
PLANP:0000114	default	PLANA:0000461	lateral branch
PLANP:0000115	default	PLANA:0000055	dorsal stripe
PLANP:0000116	default	PLANA:0000117	embryonic structure
PLANP:0000117	default	PLANA:0000033	epidermal progenitor cell
PLANP:0000119	default	PLANA:0000534	chromatin
PLANP:0000121	default	PLANA:0000004	Stage 4
PLANP:0000122	default	PLANA:0007539	anchor cell
PLANP:0000124	default	PLANA:0007551	klf+ sensory neuron progenitor cell
PLANP:0000125	default	PLANA:0000459	optic chiasm
PLANP:0000126	default	PLANA:0000211	primitive ectoderm cell
PLANP:0000127	default	PLANA:0000127	oviduct epithelial cell
PLANP:0000128	default	PLANA:0000228	male germ cell
PLANP:0000129	default	PLANA:0000071	longitudinal muscle cell
PLANP:0000130	default	PLANA:0000406	oral opening
PLANP:0000131	default	PLANA:0000526	membrane-bounded organelle
PLANP:0000132	default	PLANA:0000220	spermatogonium
PLANP:0000135	default	PLANA:0000054	dorsal epidermis
PLANP:0000136	default	PLANA:0000234	seminal vesicle
PLANP:0000138	default	PLANA:0000063	extraembryonic structure
PLANP:0000139	default	PLANA:0000003	Stage 3
PLANP:0000140	default	PLANA:0007538	adhesion gland
PLANP:0000143	default	PLANA:0000012	neural progenitor
PLANP:0000144	default	PLANA:0000092	yolk syncytium
PLANP:0000145	default	PLANA:0007509	plasma membrane
PLANP:0000146	default	PLANA:0000513	cytoplasmic part
PLANP:0000147	default	PLANA:0000559	unipolar neuron
PLANP:0000149	default	PLANA:0000044	cephalic ganglia
PLANP:0000150	default	PLANA:0000106	ciliated epithelial cell
PLANP:0000151	default	PLANA:0000207	sperm duct
PLANP:0000152	default	PLANA:0007547	anterior pole progenitor cell
PLANP:0000153	default	PLANA:0007519	anterior-posterior axis
PLANP:0000154	default	PLANA:0000523	plasma membrane part
PLANP:0000155	default	PLANA:0004524	embryonic pharynx circular muscle cell
PLANP:0000156	default	PLANA:0000467	submuscular nerve plexus
PLANP:0000158	default	PLANA:0000135	female primordial germ cell
PLANP:0000159	default	PLANA:0000017	photoreceptor neuron
PLANP:0000160	default	PLANA:0004504	asexual adult
PLANP:0000161	default	PLANA:0000217	gonad
